,Unnamed: 0,Date,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day
6841,6841,12/09/2018,691,1,19.6,56,1.2,2000,Autumn,No Holiday,Yes
7226,7226,28/09/2018,0,2,16.0,56,1.5,2000,Autumn,No Holiday,No
5231,5231,06/07/2018,1458,23,22.0,55,1.7,2000,Summer,No Holiday,Yes
8062,8062,01/11/2018,1115,22,8.3,61,0.2,1809,Autumn,No Holiday,Yes
7231,7231,28/09/2018,0,7,14.5,62,1.5,2000,Autumn,No Holiday,No
4828,4828,20/06/2018,249,4,19.1,82,1.5,471,Summer,No Holiday,Yes
6208,6208,16/08/2018,902,16,34.5,37,1.9,2000,Summer,No Holiday,Yes
1654,1654,07/02/2018,200,22,-6.8,50,1.7,1856,Winter,No Holiday,Yes
7593,7593,13/10/2018,853,9,10.0,56,1.0,1761,Autumn,No Holiday,Yes
8363,8363,14/11/2018,892,11,12.1,49,0.8,1827,Autumn,No Holiday,Yes
2323,2323,07/03/2018,799,19,8.9,44,2.3,2000,Spring,No Holiday,Yes
2413,2413,11/03/2018,843,13,10.3,31,2.1,885,Spring,No Holiday,Yes
7110,7110,23/09/2018,144,6,16.5,73,1.2,2000,Autumn,Holiday,Yes
2654,2654,21/03/2018,117,14,1.9,89,1.5,102,Spring,No Holiday,Yes
4022,4022,17/05/2018,352,14,23.4,81,0.6,1921,Spring,No Holiday,Yes
3978,3978,15/05/2018,2915,18,27.5,47,2.5,1113,Spring,No Holiday,Yes
8420,8420,16/11/2018,995,20,7.6,76,3.9,603,Autumn,No Holiday,Yes
2678,2678,22/03/2018,674,14,11.4,30,3.1,1672,Spring,No Holiday,Yes
4918,4918,23/06/2018,1932,22,23.0,74,2.4,473,Summer,No Holiday,Yes
5261,5261,08/07/2018,253,5,18.1,57,1.4,2000,Summer,No Holiday,Yes
6580,6580,01/09/2018,338,4,21.2,88,0.9,1183,Autumn,No Holiday,Yes
5152,5152,03/07/2018,1325,16,31.3,52,1.2,2000,Summer,No Holiday,Yes
5819,5819,31/07/2018,583,11,34.1,40,1.5,1947,Summer,No Holiday,Yes
5147,5147,03/07/2018,906,11,29.2,66,1.4,1953,Summer,No Holiday,Yes
178,178,08/12/2017,261,10,-5.3,44,2.8,1516,Winter,No Holiday,Yes
5717,5717,27/07/2018,295,5,27.2,86,0.8,657,Summer,No Holiday,Yes
4174,4174,23/05/2018,1588,22,14.8,59,1.0,1740,Spring,No Holiday,Yes
1534,1534,02/02/2018,227,22,-2.4,63,1.3,1523,Winter,No Holiday,Yes
8481,8481,19/11/2018,889,9,4.6,60,0.8,967,Autumn,No Holiday,Yes
6656,6656,04/09/2018,2059,8,20.5,90,1.9,490,Autumn,No Holiday,Yes
3286,3286,16/04/2018,1099,22,10.8,33,0.9,2000,Spring,No Holiday,Yes
1204,1204,20/01/2018,89,4,-0.7,65,0.6,1226,Winter,No Holiday,Yes
2202,2202,02/03/2018,854,18,3.5,22,0.9,1961,Spring,No Holiday,Yes
4668,4668,13/06/2018,1747,12,24.5,56,2.3,1094,Summer,No Holiday,Yes
7531,7531,10/10/2018,1723,19,11.3,50,1.1,2000,Autumn,No Holiday,Yes
7157,7157,25/09/2018,105,5,11.5,70,0.5,2000,Autumn,Holiday,Yes
4071,4071,19/05/2018,2268,15,23.9,37,1.6,2000,Spring,No Holiday,Yes
4787,4787,18/06/2018,915,11,27.3,45,2.4,846,Summer,No Holiday,Yes
975,975,10/01/2018,193,15,-5.3,33,4.8,2000,Winter,No Holiday,Yes
4664,4664,13/06/2018,959,8,20.7,65,1.5,1004,Summer,No Holiday,Yes
1770,1770,12/02/2018,475,18,-4.4,46,3.5,2000,Winter,No Holiday,Yes
829,829,04/01/2018,284,13,-2.0,32,1.0,1864,Winter,No Holiday,Yes
941,941,09/01/2018,52,5,-5.1,48,3.2,1821,Winter,No Holiday,Yes
4176,4176,24/05/2018,778,0,13.7,51,1.3,1651,Spring,No Holiday,Yes
2486,2486,14/03/2018,878,14,21.1,42,4.3,2000,Spring,No Holiday,Yes
627,627,27/12/2017,81,3,-9.1,37,1.0,2000,Winter,No Holiday,Yes
4013,4013,17/05/2018,54,5,18.8,97,0.9,1927,Spring,No Holiday,Yes
7879,7879,25/10/2018,1251,7,7.3,85,1.4,1039,Autumn,No Holiday,Yes
7188,7188,26/09/2018,1358,12,22.5,37,1.8,2000,Autumn,No Holiday,Yes
925,925,08/01/2018,303,13,3.0,32,1.6,1518,Winter,No Holiday,Yes
3033,3033,06/04/2018,719,9,6.9,83,2.2,1666,Spring,No Holiday,Yes
295,295,13/12/2017,310,7,-11.7,53,1.6,1998,Winter,No Holiday,Yes
1052,1052,13/01/2018,158,20,-3.9,78,1.1,596,Winter,No Holiday,Yes
8105,8105,03/11/2018,0,17,16.7,45,2.2,772,Autumn,No Holiday,No
2707,2707,23/03/2018,932,19,8.3,48,3.0,779,Spring,No Holiday,Yes
3221,3221,14/04/2018,20,5,9.5,76,0.8,1962,Spring,No Holiday,Yes
8564,8564,22/11/2018,777,20,3.1,42,2.4,2000,Autumn,No Holiday,Yes
8257,8257,10/11/2018,679,1,11.2,78,1.1,467,Autumn,No Holiday,Yes
6114,6114,12/08/2018,1225,18,33.4,49,1.6,1971,Summer,No Holiday,Yes
6911,6911,14/09/2018,810,23,22.3,87,1.1,1810,Autumn,No Holiday,Yes
3509,3509,26/04/2018,180,5,10.2,73,0.8,1137,Spring,No Holiday,Yes
8045,8045,01/11/2018,154,5,3.3,72,0.0,1946,Autumn,No Holiday,Yes
2789,2789,27/03/2018,110,5,8.0,63,0.8,439,Spring,No Holiday,Yes
944,944,09/01/2018,554,8,-6.0,64,3.2,1384,Winter,No Holiday,Yes
7379,7379,04/10/2018,0,11,21.3,41,1.9,1963,Autumn,No Holiday,No
7695,7695,17/10/2018,1175,15,18.3,21,2.7,2000,Autumn,No Holiday,Yes
7040,7040,20/09/2018,299,8,18.0,91,1.3,896,Autumn,No Holiday,Yes
12,12,01/12/2017,449,12,1.7,23,1.4,2000,Winter,No Holiday,Yes
1117,1117,16/01/2018,296,13,5.8,47,0.8,382,Winter,No Holiday,Yes
7316,7316,01/10/2018,1824,20,15.4,63,2.1,2000,Autumn,No Holiday,Yes
3255,3255,15/04/2018,62,15,13.1,54,4.1,1264,Spring,No Holiday,Yes
7764,7764,20/10/2018,1407,12,17.7,33,2.2,1556,Autumn,No Holiday,Yes
2690,2690,23/03/2018,216,2,2.2,80,1.4,615,Spring,No Holiday,Yes
2213,2213,03/03/2018,55,5,0.8,39,1.0,1463,Spring,No Holiday,Yes
4041,4041,18/05/2018,427,9,16.6,98,0.6,301,Spring,No Holiday,Yes
7233,7233,28/09/2018,0,9,16.5,50,1.2,2000,Autumn,No Holiday,No
5193,5193,05/07/2018,1112,9,24.2,84,0.9,632,Summer,No Holiday,Yes
1319,1319,24/01/2018,82,23,-15.7,43,3.6,2000,Winter,No Holiday,Yes
779,779,02/01/2018,269,11,-0.4,40,2.3,1633,Winter,No Holiday,Yes
8653,8653,26/11/2018,718,13,11.7,50,1.4,609,Autumn,No Holiday,Yes
8354,8354,14/11/2018,327,2,6.2,59,0.6,1584,Autumn,No Holiday,Yes
3130,3130,10/04/2018,703,10,15.2,31,1.6,1757,Spring,No Holiday,Yes
4442,4442,04/06/2018,351,2,20.1,49,0.8,1978,Summer,No Holiday,Yes
7460,7460,07/10/2018,1519,20,15.5,37,1.9,2000,Autumn,No Holiday,Yes
433,433,19/12/2017,122,1,-2.0,72,0.8,979,Winter,No Holiday,Yes
3475,3475,24/04/2018,1580,19,13.3,37,1.2,2000,Spring,No Holiday,Yes
3505,3505,26/04/2018,546,1,12.4,55,1.0,1836,Spring,No Holiday,Yes
653,653,28/12/2017,61,5,-5.7,28,1.2,2000,Winter,No Holiday,Yes
2477,2477,14/03/2018,123,5,14.1,69,1.3,1923,Spring,No Holiday,Yes
92,92,04/12/2017,398,20,-3.6,38,3.0,2000,Winter,No Holiday,Yes
6816,6816,11/09/2018,910,0,20.1,52,1.5,2000,Autumn,No Holiday,Yes
8620,8620,25/11/2018,138,4,2.4,89,0.7,321,Autumn,No Holiday,Yes
7167,7167,25/09/2018,1747,15,24.1,26,1.6,2000,Autumn,Holiday,Yes
5603,5603,22/07/2018,499,11,33.8,45,1.9,1928,Summer,No Holiday,Yes
5359,5359,12/07/2018,1279,7,25.9,87,1.7,834,Summer,No Holiday,Yes
4076,4076,19/05/2018,1872,20,20.9,34,1.4,2000,Spring,No Holiday,Yes
8637,8637,25/11/2018,546,21,4.7,81,1.0,437,Autumn,No Holiday,Yes
4463,4463,04/06/2018,1354,23,21.4,68,2.7,972,Summer,No Holiday,Yes
5720,5720,27/07/2018,1763,8,28.5,76,0.9,725,Summer,No Holiday,Yes
2886,2886,31/03/2018,142,6,9.4,75,0.9,1117,Spring,No Holiday,Yes
3135,3135,10/04/2018,933,15,21.4,33,4.8,1998,Spring,No Holiday,Yes
7486,7486,08/10/2018,1636,22,14.4,49,1.1,2000,Autumn,No Holiday,Yes
1874,1874,17/02/2018,56,2,-3.8,30,3.9,2000,Winter,Holiday,Yes
6769,6769,09/09/2018,835,1,18.8,54,0.1,2000,Autumn,No Holiday,Yes
8113,8113,04/11/2018,517,1,8.6,60,1.1,1416,Autumn,No Holiday,Yes
4862,4862,21/06/2018,1152,14,28.0,39,2.6,1833,Summer,No Holiday,Yes
6464,6464,27/08/2018,328,8,21.3,97,1.3,1029,Summer,No Holiday,Yes
2904,2904,01/04/2018,579,0,12.1,70,0.8,1050,Spring,No Holiday,Yes
3582,3582,29/04/2018,183,6,9.5,65,1.0,1325,Spring,No Holiday,Yes
570,570,24/12/2017,128,18,1.9,82,4.3,699,Winter,Holiday,Yes
1448,1448,30/01/2018,491,8,-11.1,61,0.7,1963,Winter,No Holiday,Yes
4793,4793,18/06/2018,2040,17,29.5,36,3.7,1786,Summer,No Holiday,Yes
4772,4772,17/06/2018,2429,20,23.1,67,2.1,1060,Summer,No Holiday,Yes
8087,8087,02/11/2018,851,23,9.7,56,1.3,1423,Autumn,No Holiday,Yes
5215,5215,06/07/2018,1449,7,22.6,63,1.3,2000,Summer,No Holiday,Yes
5605,5605,22/07/2018,569,13,36.7,33,1.8,1911,Summer,No Holiday,Yes
2518,2518,15/03/2018,506,22,9.8,90,3.7,493,Spring,No Holiday,Yes
7631,7631,14/10/2018,810,23,13.2,73,1.2,1639,Autumn,No Holiday,Yes
1745,1745,11/02/2018,198,17,-4.2,47,2.7,2000,Winter,No Holiday,Yes
2741,2741,25/03/2018,60,5,5.0,83,0.7,200,Spring,No Holiday,Yes
1590,1590,05/02/2018,110,6,-11.5,40,2.3,2000,Winter,No Holiday,Yes
3226,3226,14/04/2018,43,10,7.7,94,1.0,685,Spring,No Holiday,Yes
8531,8531,21/11/2018,649,11,7.4,30,1.4,2000,Autumn,No Holiday,Yes
2236,2236,04/03/2018,34,4,8.8,95,0.2,218,Spring,No Holiday,Yes
287,287,12/12/2017,173,23,-9.3,47,2.1,2000,Winter,No Holiday,Yes
1738,1738,11/02/2018,130,10,-6.9,21,3.4,1827,Winter,No Holiday,Yes
5837,5837,01/08/2018,315,5,28.3,68,0.3,2000,Summer,No Holiday,Yes
8191,8191,07/11/2018,526,7,10.8,91,1.3,216,Autumn,No Holiday,Yes
3749,3749,06/05/2018,11,5,15.4,96,0.3,208,Spring,No Holiday,Yes
3539,3539,27/04/2018,986,11,17.7,44,1.5,945,Spring,No Holiday,Yes
4342,4342,30/05/2018,1732,22,17.3,76,1.7,801,Spring,No Holiday,Yes
5769,5769,29/07/2018,519,9,30.6,54,1.7,1831,Summer,No Holiday,Yes
5547,5547,20/07/2018,428,3,25.4,84,0.9,1174,Summer,No Holiday,Yes
1923,1923,19/02/2018,42,3,-1.4,41,1.6,1870,Winter,No Holiday,Yes
5384,5384,13/07/2018,2114,8,25.5,80,1.8,1402,Summer,No Holiday,Yes
2827,2827,28/03/2018,1288,19,16.0,60,2.8,1436,Spring,No Holiday,Yes
1684,1684,09/02/2018,46,4,-4.4,47,0.9,1343,Winter,No Holiday,Yes
5151,5151,03/07/2018,1069,15,32.0,54,1.2,1962,Summer,No Holiday,Yes
6060,6060,10/08/2018,721,12,33.4,47,1.3,2000,Summer,No Holiday,Yes
1338,1338,25/01/2018,288,18,-11.8,33,4.0,2000,Winter,No Holiday,Yes
3262,3262,15/04/2018,620,22,9.0,65,1.7,1953,Spring,No Holiday,Yes
3780,3780,07/05/2018,1414,12,22.9,35,0.8,1948,Spring,No Holiday,Yes
4886,4886,22/06/2018,1087,14,31.6,25,2.3,1780,Summer,No Holiday,Yes
2742,2742,25/03/2018,71,6,4.6,84,0.7,193,Spring,No Holiday,Yes
993,993,11/01/2018,227,9,-12.0,53,2.6,1781,Winter,No Holiday,Yes
7705,7705,18/10/2018,579,1,9.0,66,0.7,2000,Autumn,No Holiday,Yes
650,650,28/12/2017,163,2,-6.6,34,1.8,2000,Winter,No Holiday,Yes
5190,5190,05/07/2018,438,6,23.5,80,0.3,768,Summer,No Holiday,Yes
2902,2902,31/03/2018,922,22,12.8,52,1.5,1616,Spring,No Holiday,Yes
2258,2258,05/03/2018,9,2,6.3,89,2.2,1456,Spring,No Holiday,Yes
7853,7853,24/10/2018,164,5,8.5,87,1.2,1046,Autumn,No Holiday,Yes
8254,8254,09/11/2018,0,22,11.2,75,1.7,478,Autumn,No Holiday,No
5338,5338,11/07/2018,581,10,26.3,91,0.6,749,Summer,No Holiday,Yes
2986,2986,04/04/2018,505,10,10.7,81,1.4,2000,Spring,No Holiday,Yes
5642,5642,24/07/2018,487,2,28.6,66,0.9,2000,Summer,No Holiday,Yes
2121,2121,27/02/2018,455,9,2.5,51,1.0,866,Winter,No Holiday,Yes
7183,7183,26/09/2018,335,7,16.3,62,2.0,2000,Autumn,No Holiday,Yes
7638,7638,15/10/2018,504,6,11.2,81,0.2,1071,Autumn,No Holiday,Yes
7985,7985,29/10/2018,1274,17,10.0,43,4.9,2000,Autumn,No Holiday,Yes
8069,8069,02/11/2018,153,5,4.8,75,0.7,1471,Autumn,No Holiday,Yes
1564,1564,04/02/2018,35,4,-11.2,47,2.3,2000,Winter,No Holiday,Yes
7088,7088,22/09/2018,654,8,18.2,86,0.0,858,Autumn,No Holiday,Yes
5398,5398,13/07/2018,1879,22,26.7,82,1.3,1725,Summer,No Holiday,Yes
2584,2584,18/03/2018,1059,16,12.3,30,1.6,1263,Spring,No Holiday,Yes
7262,7262,29/09/2018,1892,14,26.2,33,1.8,2000,Autumn,No Holiday,Yes
2185,2185,02/03/2018,108,1,-4.6,52,2.1,1372,Spring,No Holiday,Yes
3196,3196,13/04/2018,112,4,9.7,29,1.8,2000,Spring,No Holiday,Yes
708,708,30/12/2017,274,12,3.2,64,0.8,258,Winter,No Holiday,Yes
1231,1231,21/01/2018,61,7,-3.2,54,1.2,1113,Winter,No Holiday,Yes
5862,5862,02/08/2018,578,6,30.4,54,1.3,2000,Summer,No Holiday,Yes
4110,4110,21/05/2018,467,6,11.4,0,0.9,2000,Spring,No Holiday,Yes
4100,4100,20/05/2018,1846,20,19.0,26,1.5,2000,Spring,No Holiday,Yes
1258,1258,22/01/2018,221,10,1.1,31,0.7,1898,Winter,No Holiday,Yes
8344,8344,13/11/2018,1188,16,14.2,37,2.0,1783,Autumn,No Holiday,Yes
2254,2254,04/03/2018,8,22,9.6,92,2.5,721,Spring,No Holiday,Yes
8321,8321,12/11/2018,1472,17,11.8,43,1.8,1685,Autumn,No Holiday,Yes
1951,1951,20/02/2018,404,7,-2.2,76,1.9,527,Winter,No Holiday,Yes
6711,6711,06/09/2018,1089,15,27.8,48,3.0,1880,Autumn,No Holiday,Yes
991,991,11/01/2018,203,7,-12.3,59,2.3,1738,Winter,No Holiday,Yes
3504,3504,26/04/2018,692,0,13.1,47,0.3,1877,Spring,No Holiday,Yes
113,113,05/12/2017,529,17,-1.6,35,0.0,2000,Winter,No Holiday,Yes
7868,7868,24/10/2018,1556,20,13.1,63,0.4,2000,Autumn,No Holiday,Yes
2509,2509,15/03/2018,269,13,12.7,97,2.6,467,Spring,No Holiday,Yes
8227,8227,08/11/2018,19,19,12.8,97,0.9,245,Autumn,No Holiday,Yes
8324,8324,12/11/2018,1292,20,9.0,48,1.9,1879,Autumn,No Holiday,Yes
4731,4731,16/06/2018,518,3,17.4,61,1.2,2000,Summer,No Holiday,Yes
8171,8171,06/11/2018,0,11,13.0,55,1.0,488,Autumn,No Holiday,No
2548,2548,17/03/2018,103,4,1.3,61,0.7,2000,Spring,No Holiday,Yes
4322,4322,30/05/2018,422,2,18.7,83,0.6,469,Spring,No Holiday,Yes
507,507,22/12/2017,99,3,-0.6,76,0.5,789,Winter,Holiday,Yes
7219,7219,27/09/2018,2422,19,20.6,44,0.7,2000,Autumn,No Holiday,Yes
5362,5362,12/07/2018,746,10,26.7,88,1.6,802,Summer,No Holiday,Yes
949,949,09/01/2018,265,13,-2.6,45,4.0,1663,Winter,No Holiday,Yes
4220,4220,25/05/2018,1905,20,20.4,45,2.0,1457,Spring,No Holiday,Yes
4376,4376,01/06/2018,2149,8,20.6,55,0.7,1200,Summer,No Holiday,Yes
3770,3770,07/05/2018,404,2,14.8,85,0.4,1831,Spring,No Holiday,Yes
8148,8148,05/11/2018,971,12,16.4,48,2.1,653,Autumn,No Holiday,Yes
4937,4937,24/06/2018,1754,17,30.9,34,2.5,1640,Summer,No Holiday,Yes
2850,2850,29/03/2018,1776,18,19.1,47,2.4,942,Spring,No Holiday,Yes
6739,6739,07/09/2018,2365,19,22.6,39,2.8,2000,Autumn,No Holiday,Yes
7766,7766,20/10/2018,1649,14,20.0,22,1.6,1950,Autumn,No Holiday,Yes
2300,2300,06/03/2018,666,20,6.1,31,2.8,2000,Spring,No Holiday,Yes
4098,4098,20/05/2018,2403,18,22.2,22,1.8,2000,Spring,No Holiday,Yes
5670,5670,25/07/2018,657,6,28.1,75,1.8,1092,Summer,No Holiday,Yes
350,350,15/12/2017,329,14,-0.7,39,0.8,826,Winter,No Holiday,Yes
7364,7364,03/10/2018,1744,20,18.6,55,1.5,2000,Autumn,Holiday,Yes
2906,2906,01/04/2018,322,2,11.7,72,0.6,915,Spring,No Holiday,Yes
5044,5044,29/06/2018,123,4,22.3,96,0.0,278,Summer,No Holiday,Yes
5660,5660,24/07/2018,1834,20,31.1,63,2.0,1542,Summer,No Holiday,Yes
2505,2505,15/03/2018,32,9,14.1,98,1.1,253,Spring,No Holiday,Yes
2620,2620,20/03/2018,69,4,4.4,44,3.1,2000,Spring,No Holiday,Yes
5028,5028,28/06/2018,1158,12,27.0,68,2.0,1863,Summer,No Holiday,Yes
1114,1114,16/01/2018,221,10,2.7,60,0.5,392,Winter,No Holiday,Yes
2846,2846,29/03/2018,711,14,20.2,47,2.4,541,Spring,No Holiday,Yes
7743,7743,19/10/2018,1390,15,19.7,30,3.0,1971,Autumn,No Holiday,Yes
298,298,13/12/2017,202,10,-9.5,39,2.1,1875,Winter,No Holiday,Yes
1675,1675,08/02/2018,378,19,-1.8,35,1.4,1558,Winter,No Holiday,Yes
3347,3347,19/04/2018,795,11,16.1,23,2.5,1361,Spring,No Holiday,Yes
7359,7359,03/10/2018,2200,15,24.1,34,2.0,1996,Autumn,Holiday,Yes
2735,2735,24/03/2018,354,23,6.4,85,2.3,155,Spring,No Holiday,Yes
6101,6101,12/08/2018,196,5,27.7,65,1.4,2000,Summer,No Holiday,Yes
5965,5965,06/08/2018,666,13,34.3,54,2.2,1540,Summer,No Holiday,Yes
7370,7370,04/10/2018,0,2,14.0,73,0.5,1992,Autumn,No Holiday,No
7569,7569,12/10/2018,1106,9,8.6,50,0.8,1785,Autumn,No Holiday,Yes
4436,4436,03/06/2018,2460,20,25.3,32,2.2,1997,Summer,No Holiday,Yes
7502,7502,09/10/2018,0,14,18.8,39,1.6,2000,Autumn,Holiday,No
6983,6983,17/09/2018,1293,23,20.2,68,1.2,1963,Autumn,No Holiday,Yes
1937,1937,19/02/2018,522,17,5.7,36,3.0,1073,Winter,No Holiday,Yes
229,229,10/12/2017,182,13,3.3,87,1.1,230,Winter,No Holiday,Yes
76,76,04/12/2017,41,4,2.8,89,1.5,130,Winter,No Holiday,Yes
103,103,05/12/2017,381,7,-7.5,33,2.2,2000,Winter,No Holiday,Yes
8434,8434,17/11/2018,733,10,4.7,47,1.2,1788,Autumn,No Holiday,Yes
3838,3838,09/05/2018,1602,22,15.9,60,2.6,2000,Spring,No Holiday,Yes
3815,3815,08/05/2018,767,23,12.2,57,1.9,2000,Spring,No Holiday,Yes
4121,4121,21/05/2018,2214,17,22.2,45,2.4,2000,Spring,No Holiday,Yes
1722,1722,10/02/2018,216,18,-2.0,15,5.6,2000,Winter,No Holiday,Yes
5987,5987,07/08/2018,657,11,31.4,59,0.8,2000,Summer,No Holiday,Yes
2103,2103,26/02/2018,521,15,10.3,23,2.1,1317,Winter,No Holiday,Yes
7294,7294,30/09/2018,0,22,14.6,46,2.2,2000,Autumn,No Holiday,No
7981,7981,29/10/2018,815,13,10.4,49,2.7,2000,Autumn,No Holiday,Yes
5167,5167,04/07/2018,1450,7,24.6,78,0.5,2000,Summer,No Holiday,Yes
5677,5677,25/07/2018,783,13,32.3,56,3.0,1504,Summer,No Holiday,Yes
1837,1837,15/02/2018,240,13,2.2,18,3.4,1942,Winter,Holiday,Yes
7623,7623,14/10/2018,1948,15,20.1,32,2.4,1893,Autumn,No Holiday,Yes
6447,6447,26/08/2018,782,15,24.3,64,1.8,1931,Summer,No Holiday,Yes
6221,6221,17/08/2018,304,5,21.8,55,1.9,2000,Summer,No Holiday,Yes
1614,1614,06/02/2018,94,6,-12.5,40,3.4,1991,Winter,No Holiday,Yes
3746,3746,06/05/2018,74,2,17.3,82,2.1,768,Spring,No Holiday,Yes
607,607,26/12/2017,296,7,-2.9,73,1.9,1911,Winter,No Holiday,Yes
8157,8157,05/11/2018,1289,21,12.2,79,1.8,351,Autumn,No Holiday,Yes
6351,6351,22/08/2018,842,15,36.8,36,1.0,2000,Summer,No Holiday,Yes
1093,1093,15/01/2018,309,13,6.1,61,2.3,534,Winter,No Holiday,Yes
4149,4149,22/05/2018,58,21,17.0,85,1.1,597,Spring,Holiday,Yes
2622,2622,20/03/2018,235,6,3.9,43,3.4,2000,Spring,No Holiday,Yes
4842,4842,20/06/2018,3384,18,27.0,55,3.1,1246,Summer,No Holiday,Yes
7517,7517,10/10/2018,152,5,13.6,89,2.7,990,Autumn,No Holiday,Yes
8674,8674,27/11/2018,616,10,6.4,71,1.0,385,Autumn,No Holiday,Yes
7968,7968,29/10/2018,434,0,5.3,81,1.7,1993,Autumn,No Holiday,Yes
160,160,07/12/2017,471,16,3.2,38,2.9,1817,Winter,No Holiday,Yes
203,203,09/12/2017,351,11,0.0,45,1.1,1500,Winter,No Holiday,Yes
2387,2387,10/03/2018,497,11,5.7,58,2.3,700,Spring,No Holiday,Yes
5379,5379,13/07/2018,377,3,24.9,86,2.0,1079,Summer,No Holiday,Yes
8518,8518,20/11/2018,922,22,8.9,40,3.4,1810,Autumn,No Holiday,Yes
6925,6925,15/09/2018,1465,13,25.8,65,1.0,1996,Autumn,No Holiday,Yes
837,837,04/01/2018,310,21,-3.1,41,2.0,1742,Winter,No Holiday,Yes
2934,2934,02/04/2018,359,6,14.9,81,0.4,580,Spring,No Holiday,Yes
5586,5586,21/07/2018,1202,18,35.0,42,2.9,1953,Summer,No Holiday,Yes
4527,4527,07/06/2018,1171,15,29.3,41,2.0,609,Summer,No Holiday,Yes
2435,2435,12/03/2018,463,11,9.2,33,1.1,892,Spring,No Holiday,Yes
1230,1230,21/01/2018,36,6,-3.1,54,1.4,1037,Winter,No Holiday,Yes
7052,7052,20/09/2018,898,20,19.1,77,2.2,1834,Autumn,No Holiday,Yes
6989,6989,18/09/2018,0,5,17.9,77,0.5,1658,Autumn,No Holiday,No
6274,6274,19/08/2018,732,10,27.3,49,0.9,1968,Summer,No Holiday,Yes
1609,1609,06/02/2018,87,1,-10.9,36,3.3,2000,Winter,No Holiday,Yes
3861,3861,10/05/2018,0,21,12.6,85,2.4,460,Spring,No Holiday,No
8450,8450,18/11/2018,335,2,2.9,49,2.0,1989,Autumn,No Holiday,Yes
4373,4373,01/06/2018,306,5,17.8,75,1.0,1210,Summer,No Holiday,Yes
7863,7863,24/10/2018,1161,15,18.0,40,3.0,1808,Autumn,No Holiday,Yes
3852,3852,10/05/2018,0,12,19.8,49,2.3,1320,Spring,No Holiday,No
3693,3693,03/05/2018,1388,21,11.9,48,1.9,1918,Spring,No Holiday,Yes
5254,5254,07/07/2018,1921,22,22.6,51,1.7,2000,Summer,No Holiday,Yes
4899,4899,23/06/2018,540,3,22.0,42,0.2,1891,Summer,No Holiday,Yes
5476,5476,17/07/2018,222,4,24.4,80,1.0,1112,Summer,No Holiday,Yes
8184,8184,07/11/2018,639,0,11.9,74,1.6,287,Autumn,No Holiday,Yes
2732,2732,24/03/2018,513,20,7.1,83,3.3,203,Spring,No Holiday,Yes
8106,8106,03/11/2018,0,18,14.2,51,1.5,990,Autumn,No Holiday,No
1152,1152,18/01/2018,215,0,2.7,73,1.0,290,Winter,No Holiday,Yes
8071,8071,02/11/2018,1024,7,4.1,75,0.8,1143,Autumn,No Holiday,Yes
7507,7507,09/10/2018,0,19,17.3,47,2.2,2000,Autumn,Holiday,No
4034,4034,18/05/2018,48,2,18.8,98,1.5,237,Spring,No Holiday,Yes
6174,6174,15/08/2018,346,6,28.4,74,1.0,1700,Summer,Holiday,Yes
6638,6638,03/09/2018,532,14,25.6,77,0.8,1930,Autumn,No Holiday,Yes
7318,7318,01/10/2018,1501,22,13.9,69,0.5,2000,Autumn,No Holiday,Yes
7524,7524,10/10/2018,1006,12,13.7,43,3.4,1980,Autumn,No Holiday,Yes
3877,3877,11/05/2018,1177,13,20.8,45,2.8,688,Spring,No Holiday,Yes
7415,7415,05/10/2018,4,23,16.3,91,1.8,1811,Autumn,No Holiday,Yes
7271,7271,29/09/2018,1229,23,18.6,59,0.7,2000,Autumn,No Holiday,Yes
1392,1392,28/01/2018,125,0,-7.5,36,2.3,1972,Winter,No Holiday,Yes
8517,8517,20/11/2018,1020,21,8.8,37,3.8,1750,Autumn,No Holiday,Yes
6741,6741,07/09/2018,1915,21,20.6,48,2.1,2000,Autumn,No Holiday,Yes
657,657,28/12/2017,326,9,-4.3,38,0.7,1877,Winter,No Holiday,Yes
790,790,02/01/2018,273,22,-3.4,33,2.4,2000,Winter,No Holiday,Yes
4092,4092,20/05/2018,1313,12,18.8,31,1.2,2000,Spring,No Holiday,Yes
5654,5654,24/07/2018,649,14,35.8,49,2.8,1264,Summer,No Holiday,Yes
7647,7647,15/10/2018,1183,15,20.4,43,1.7,690,Autumn,No Holiday,Yes
7907,7907,26/10/2018,54,11,12.4,87,1.0,317,Autumn,No Holiday,Yes
2561,2561,17/03/2018,1272,17,12.1,34,2.5,1240,Spring,No Holiday,Yes
3801,3801,08/05/2018,1128,9,18.5,51,1.4,1955,Spring,No Holiday,Yes
2640,2640,21/03/2018,240,0,1.6,39,2.3,2000,Spring,No Holiday,Yes
1359,1359,26/01/2018,140,15,-11.4,27,3.3,1805,Winter,No Holiday,Yes
4280,4280,28/05/2018,2194,8,19.5,50,0.7,1329,Spring,No Holiday,Yes
7406,7406,05/10/2018,17,14,17.2,95,1.6,553,Autumn,No Holiday,Yes
2347,2347,08/03/2018,683,19,4.5,72,2.7,529,Spring,No Holiday,Yes
6309,6309,20/08/2018,1971,21,29.3,63,3.1,1677,Summer,No Holiday,Yes
4147,4147,22/05/2018,45,19,17.6,93,0.3,331,Spring,Holiday,Yes
